@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
home,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,away,0.6875,22.3,24.2,-12.0,19.0,21.0,20.0,25.0,-1.9,t1
away,0.6875,22.3,24.2,-12.0,19.0,21.0,20.0,25.0,-1.9,home,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,t2
away,0.6875,25.8,15.3,13.0,9.0,1.0,26.0,26.0,10.4,home,0.625,27.3,24.3,17.0,4.0,22.0,11.0,21.0,3.0,t1
home,0.625,27.3,24.3,17.0,4.0,22.0,11.0,21.0,3.0,away,0.6875,25.8,15.3,13.0,9.0,1.0,26.0,26.0,10.4,t2
home,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,away,0.6875,27.1,21.0,7.0,5.0,11.0,8.0,15.0,6.1,t1
away,0.6875,27.1,21.0,7.0,5.0,11.0,8.0,15.0,6.1,home,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,t2
away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,home,0.8125,30.1,18.1,-1.0,2.0,4.0,7.0,16.0,12.0,t1
home,0.8125,30.1,18.1,-1.0,2.0,4.0,7.0,16.0,12.0,away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,t2
home,0.8125,26.2,18.7,13.0,7.0,5.0,18.0,32.0,7.5,away,0.6875,25.8,15.3,13.0,9.0,1.0,26.0,26.0,10.4,t1
away,0.6875,25.8,15.3,13.0,9.0,1.0,26.0,26.0,10.4,home,0.8125,26.2,18.7,13.0,7.0,5.0,18.0,32.0,7.5,t2
home,0.75,34.8,20.7,25.0,1.0,10.0,3.0,14.0,14.1,away,0.75,26.0,20.7,12.0,8.0,9.0,1.0,13.0,5.3,t1
away,0.75,26.0,20.7,12.0,8.0,9.0,1.0,13.0,5.3,home,0.75,34.8,20.7,25.0,1.0,10.0,3.0,14.0,14.1,t2
away,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,home,0.8125,26.2,18.7,13.0,7.0,5.0,18.0,32.0,7.5,t1
home,0.8125,26.2,18.7,13.0,7.0,5.0,18.0,32.0,7.5,away,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,t2
away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,home,0.75,34.8,20.7,25.0,1.0,10.0,3.0,14.0,14.1,t1
home,0.75,34.8,20.7,25.0,1.0,10.0,3.0,14.0,14.1,away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,t2
away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,away,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,t1
away,0.7333333333333333,24.8,17.1,9.0,11.0,2.0,10.0,10.0,7.8,away,0.625,24.9,21.5,9.0,10.0,12.0,4.0,1.0,3.4,t2
home,0.6875,24.4,21.0,13.0,14.0,9.0,13.0,14.0,3.4,away,0.6875,26.9,19.1,18.0,7.0,6.0,1.0,1.0,7.8,t1
away,0.6875,26.9,19.1,18.0,7.0,6.0,1.0,1.0,7.8,home,0.6875,24.4,21.0,13.0,14.0,9.0,13.0,14.0,3.4,t2
away,0.6875,25.9,19.0,0.0,10.0,4.0,27.0,32.0,6.9,home,0.625,27.6,23.9,12.0,4.0,17.0,7.0,25.0,3.8,t1
home,0.625,27.6,23.9,12.0,4.0,17.0,7.0,25.0,3.8,away,0.6875,25.9,19.0,0.0,10.0,4.0,27.0,32.0,6.9,t2
away,0.5625,24.8,21.8,-4.0,12.0,11.0,32.0,31.0,3.0,home,0.6875,26.9,19.1,1.0,6.0,5.0,15.0,7.0,7.8,t1
home,0.6875,26.9,19.1,1.0,6.0,5.0,15.0,7.0,7.8,away,0.5625,24.8,21.8,-4.0,12.0,11.0,32.0,31.0,3.0,t2
away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,home,0.5333333333333333,26.1,26.8,-3.0,8.0,25.0,26.0,23.0,-0.7,t1
home,0.5333333333333333,26.1,26.8,-3.0,8.0,25.0,26.0,23.0,-0.7,away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,t2
home,0.75,27.8,21.1,9.0,3.0,10.0,4.0,17.0,6.6,away,0.6875,24.4,21.0,13.0,14.0,9.0,13.0,14.0,3.4,t1
away,0.6875,24.4,21.0,13.0,14.0,9.0,13.0,14.0,3.4,home,0.75,27.8,21.1,9.0,3.0,10.0,4.0,17.0,6.6,t2
home,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,away,0.6875,25.9,19.0,0.0,10.0,4.0,27.0,32.0,6.9,t1
away,0.6875,25.9,19.0,0.0,10.0,4.0,27.0,32.0,6.9,home,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,t2
home,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,away,0.5625,24.8,21.8,-4.0,12.0,11.0,32.0,31.0,3.0,t1
away,0.5625,24.8,21.8,-4.0,12.0,11.0,32.0,31.0,3.0,home,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,t2
away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,home,0.75,22.9,15.1,11.0,18.0,2.0,30.0,28.0,7.8,t1
home,0.75,22.9,15.1,11.0,18.0,2.0,30.0,28.0,7.8,away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,t2
home,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,away,0.75,27.8,21.1,9.0,3.0,10.0,4.0,17.0,6.6,t1
away,0.75,27.8,21.1,9.0,3.0,10.0,4.0,17.0,6.6,home,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,t2
home,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,t1
away,0.75,25.4,17.0,12.0,11.0,3.0,5.0,24.0,8.4,home,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,t2
away,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,away,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,t1
away,0.8125,37.9,24.9,0.0,1.0,22.0,2.0,9.0,12.9,away,0.8125,26.1,14.4,20.0,9.0,1.0,8.0,8.0,11.6,t2
home,0.4666666666666667,21.2,23.4,3.0,19.0,21.0,15.0,21.0,-2.2,away,0.6875,19.4,18.7,8.0,24.0,5.0,8.0,31.0,0.7,t1
away,0.6875,19.4,18.7,8.0,24.0,5.0,8.0,31.0,0.7,home,0.4666666666666667,21.2,23.4,3.0,19.0,21.0,15.0,21.0,-2.2,t2
away,0.625,25.6,18.9,2.0,8.0,6.0,29.0,18.0,6.7,home,0.6875,27.3,23.0,0.0,7.0,18.0,21.0,20.0,4.3,t1
home,0.6875,27.3,23.0,0.0,7.0,18.0,21.0,20.0,4.3,away,0.625,25.6,18.9,2.0,8.0,6.0,29.0,18.0,6.7,t2
home,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,away,0.6666666666666666,22.8,21.5,0.0,15.0,12.0,12.0,3.0,1.3,t1
away,0.6666666666666666,22.8,21.5,0.0,15.0,12.0,12.0,3.0,1.3,home,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,t2
home,0.75,29.2,22.0,6.0,5.0,15.0,14.0,25.0,7.2,away,0.6875,20.1,17.6,7.0,22.0,3.0,25.0,28.0,2.4,t1
away,0.6875,20.1,17.6,7.0,22.0,3.0,25.0,28.0,2.4,home,0.75,29.2,22.0,6.0,5.0,15.0,14.0,25.0,7.2,t2
home,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,away,0.625,25.6,18.9,2.0,8.0,6.0,29.0,18.0,6.7,t1
away,0.625,25.6,18.9,2.0,8.0,6.0,29.0,18.0,6.7,home,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,t2
home,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,away,0.4666666666666667,21.2,23.4,3.0,19.0,21.0,15.0,21.0,-2.2,t1
away,0.4666666666666667,21.2,23.4,3.0,19.0,21.0,15.0,21.0,-2.2,home,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,t2
home,0.75,30.4,21.8,14.0,1.0,14.0,23.0,27.0,8.6,away,0.75,29.2,22.0,6.0,5.0,15.0,14.0,25.0,7.2,t1
away,0.75,29.2,22.0,6.0,5.0,15.0,14.0,25.0,7.2,home,0.75,30.4,21.8,14.0,1.0,14.0,23.0,27.0,8.6,t2
away,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,home,0.75,30.1,22.1,5.0,2.0,16.0,7.0,13.0,8.0,t1
home,0.75,30.1,22.1,5.0,2.0,16.0,7.0,13.0,8.0,away,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,t2
home,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,away,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,t1
away,0.6875,28.6,23.1,-5.0,6.0,19.0,10.0,5.0,5.6,home,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,t2
home,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,away,0.75,30.4,21.8,14.0,1.0,14.0,23.0,27.0,8.6,t1
away,0.75,30.4,21.8,14.0,1.0,14.0,23.0,27.0,8.6,home,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,t2
away,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,away,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,t1
away,0.75,24.6,15.9,10.0,10.0,1.0,18.0,12.0,8.8,away,0.75,29.3,19.6,12.0,4.0,8.0,5.0,16.0,9.7,t2
away,0.6875,405.0,17.9,14.0,9.0,3.0,9.0,5.0,1.6,home,0.5625,339.0,19.6,5.0,22.0,8.0,3.0,19.0,-2.4,t1
home,0.5625,339.0,19.6,5.0,22.0,8.0,3.0,19.0,-2.4,away,0.6875,405.0,17.9,14.0,9.0,3.0,9.0,5.0,1.6,t2
away,0.625,423.0,19.9,2.0,5.0,11.0,28.0,27.0,2.2,home,0.75,419.0,17.4,11.0,7.0,2.0,15.0,6.0,1.9,t1
home,0.75,419.0,17.4,11.0,7.0,2.0,15.0,6.0,1.9,away,0.625,423.0,19.9,2.0,5.0,11.0,28.0,27.0,2.2,t2
away,0.625,368.0,20.2,5.0,15.0,12.0,16.0,21.0,2.5,home,0.5625,388.0,23.7,5.0,10.0,17.0,21.0,13.0,-2.5,t1
home,0.5625,388.0,23.7,5.0,10.0,17.0,21.0,13.0,-2.5,away,0.625,368.0,20.2,5.0,15.0,12.0,16.0,21.0,2.5,t2
away,0.625,423.0,17.3,7.0,4.0,1.0,20.0,7.0,2.2,home,0.6875,365.0,18.9,5.0,16.0,5.0,22.0,8.0,1.9,t1
home,0.6875,365.0,18.9,5.0,16.0,5.0,22.0,8.0,1.9,away,0.625,423.0,17.3,7.0,4.0,1.0,20.0,7.0,2.2,t2
home,0.8125,489.0,19.6,9.0,2.0,7.0,10.0,18.0,1.3,away,0.625,368.0,20.2,5.0,15.0,12.0,16.0,21.0,2.5,t1
away,0.625,368.0,20.2,5.0,15.0,12.0,16.0,21.0,2.5,home,0.8125,489.0,19.6,9.0,2.0,7.0,10.0,18.0,1.3,t2
home,0.75,465.0,19.7,7.0,3.0,10.0,2.0,15.0,-2.4,away,0.6875,405.0,17.9,14.0,9.0,3.0,9.0,5.0,1.6,t1
away,0.6875,405.0,17.9,14.0,9.0,3.0,9.0,5.0,1.6,home,0.75,465.0,19.7,7.0,3.0,10.0,2.0,15.0,-2.4,t2
home,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,away,0.625,423.0,17.3,7.0,4.0,1.0,20.0,7.0,2.2,t1
away,0.625,423.0,17.3,7.0,4.0,1.0,20.0,7.0,2.2,home,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,t2
home,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,away,0.625,423.0,19.9,2.0,5.0,11.0,28.0,27.0,2.2,t1
away,0.625,423.0,19.9,2.0,5.0,11.0,28.0,27.0,2.2,home,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,t2
home,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,away,0.8125,489.0,19.6,9.0,2.0,7.0,10.0,18.0,1.3,t1
away,0.8125,489.0,19.6,9.0,2.0,7.0,10.0,18.0,1.3,home,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,t2
home,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,away,0.75,465.0,19.7,7.0,3.0,10.0,2.0,15.0,-2.4,t1
away,0.75,465.0,19.7,7.0,3.0,10.0,2.0,15.0,-2.4,home,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,t2
away,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,away,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,t1
away,0.9375,500.0,19.3,20.0,1.0,6.0,1.0,30.0,-3.9,away,0.75,355.0,18.5,-4.0,19.0,4.0,7.0,28.0,2.1,t2
home,0.5625,279.0,20.5,-7.0,28.0,11.0,20.0,10.0,-3.1,away,0.75,416.0,24.1,16.0,7.0,20.0,2.0,12.0,1.9,t1
away,0.75,416.0,24.1,16.0,7.0,20.0,2.0,12.0,1.9,home,0.5625,279.0,20.5,-7.0,28.0,11.0,20.0,10.0,-3.1,t2
home,0.6666666666666666,354.0,18.3,1.0,18.0,3.0,13.0,15.0,3.9,away,0.5625,346.0,22.4,-1.0,20.0,13.0,29.0,25.0,-0.8,t1
away,0.5625,346.0,22.4,-1.0,20.0,13.0,29.0,25.0,-0.8,home,0.6666666666666666,354.0,18.3,1.0,18.0,3.0,13.0,15.0,3.9,t2
home,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,away,0.6875,310.0,17.8,-2.0,26.0,2.0,7.0,5.0,1.6,t1
away,0.6875,310.0,17.8,-2.0,26.0,2.0,7.0,5.0,1.6,home,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,t2
home,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,away,0.625,361.0,23.8,2.0,17.0,18.0,6.0,7.0,-1.1,t1
away,0.625,361.0,23.8,2.0,17.0,18.0,6.0,7.0,-1.1,home,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,t2
home,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,away,0.6666666666666666,354.0,18.3,1.0,18.0,3.0,13.0,15.0,3.9,t1
away,0.6666666666666666,354.0,18.3,1.0,18.0,3.0,13.0,15.0,3.9,home,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,t2
home,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,away,0.5625,279.0,20.5,-7.0,28.0,11.0,20.0,10.0,-3.1,t1
away,0.5625,279.0,20.5,-7.0,28.0,11.0,20.0,10.0,-3.1,home,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,t2
away,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,home,0.8125,421.0,19.1,5.0,5.0,5.0,21.0,28.0,7.2,t1
home,0.8125,421.0,19.1,5.0,5.0,5.0,21.0,28.0,7.2,away,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,t2
away,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,home,0.75,387.0,19.4,16.0,13.0,7.0,8.0,2.0,4.9,t1
home,0.75,387.0,19.4,16.0,13.0,7.0,8.0,2.0,4.9,away,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,t2
home,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,away,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,t1
away,0.625,432.0,24.3,8.0,4.0,21.0,28.0,22.0,2.8,home,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,t2
home,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,away,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,t1
away,0.6875,399.0,20.4,5.0,11.0,10.0,26.0,30.0,4.5,home,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,t2
away,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,away,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,t1
away,0.6875,540.0,25.4,11.0,1.0,27.0,17.0,32.0,8.4,away,0.875,441.0,15.6,12.0,3.0,1.0,5.0,6.0,11.9,t2
away,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,home,0.6875,478.0,20.6,7.0,1.0,12.0,4.0,1.0,-0.2,t1
home,0.6875,478.0,20.6,7.0,1.0,12.0,4.0,1.0,-0.2,away,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,t2
away,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,home,0.625,415.0,21.2,15.0,6.0,15.0,10.0,2.0,-1.3,t1
home,0.625,415.0,21.2,15.0,6.0,15.0,10.0,2.0,-1.3,away,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,t2
home,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,away,0.5625,302.0,22.4,9.0,22.0,18.0,21.0,28.0,-0.5,t1
away,0.5625,302.0,22.4,9.0,22.0,18.0,21.0,28.0,-0.5,home,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,t2
home,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,away,0.6875,363.0,20.4,-1.0,12.0,11.0,23.0,8.0,2.1,t1
away,0.6875,363.0,20.4,-1.0,12.0,11.0,23.0,8.0,2.1,home,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,t2
home,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,away,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,t1
away,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,home,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,t2
home,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,away,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,t1
away,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,home,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,t2
home,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,away,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,t1
away,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,home,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,t2
away,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,home,0.8125,406.0,19.3,2.0,8.0,7.0,22.0,19.0,-1.1,t1
home,0.8125,406.0,19.3,2.0,8.0,7.0,22.0,19.0,-1.1,away,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,t2
home,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,away,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,t1
away,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,home,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,t2
home,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,away,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,t1
away,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,home,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,t2
away,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,away,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,t1
away,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,away,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,t2
away,0.625,433.0,21.5,2.0,5.0,10.0,25.0,31.0,5.6,home,0.6875,402.0,19.8,13.0,11.0,4.0,2.0,18.0,5.4,t1
home,0.6875,402.0,19.8,13.0,11.0,4.0,2.0,18.0,5.4,away,0.625,433.0,21.5,2.0,5.0,10.0,25.0,31.0,5.6,t2
home,0.625,339.0,20.3,3.0,22.0,6.0,28.0,32.0,0.9,away,0.625,428.0,21.7,15.0,6.0,11.0,1.0,22.0,5.1,t1
away,0.625,428.0,21.7,15.0,6.0,11.0,1.0,22.0,5.1,home,0.625,339.0,20.3,3.0,22.0,6.0,28.0,32.0,0.9,t2
away,0.5625,367.0,21.8,-6.0,18.0,12.0,30.0,9.0,1.2,home,0.75,421.0,17.7,12.0,9.0,1.0,11.0,20.0,8.6,t1
home,0.75,421.0,17.7,12.0,9.0,1.0,11.0,20.0,8.6,away,0.5625,367.0,21.8,-6.0,18.0,12.0,30.0,9.0,1.2,t2
away,0.75,426.0,20.6,1.0,7.0,8.0,22.0,12.0,6.2,home,0.625,389.0,17.9,-3.0,13.0,2.0,13.0,6.0,6.4,t1
home,0.625,389.0,17.9,-3.0,13.0,2.0,13.0,6.0,6.4,away,0.75,426.0,20.6,1.0,7.0,8.0,22.0,12.0,6.2,t2
home,0.75,565.0,26.3,9.0,1.0,24.0,10.0,13.0,9.0,away,0.625,433.0,21.5,2.0,5.0,10.0,25.0,31.0,5.6,t1
away,0.625,433.0,21.5,2.0,5.0,10.0,25.0,31.0,5.6,home,0.75,565.0,26.3,9.0,1.0,24.0,10.0,13.0,9.0,t2
home,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,away,0.625,339.0,20.3,3.0,22.0,6.0,28.0,32.0,0.9,t1
away,0.625,339.0,20.3,3.0,22.0,6.0,28.0,32.0,0.9,home,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,t2
home,0.8125,504.0,22.1,8.0,3.0,14.0,31.0,28.0,9.4,away,0.5625,367.0,21.8,-6.0,18.0,12.0,30.0,9.0,1.2,t1
away,0.5625,367.0,21.8,-6.0,18.0,12.0,30.0,9.0,1.2,home,0.8125,504.0,22.1,8.0,3.0,14.0,31.0,28.0,9.4,t2
home,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,away,0.75,426.0,20.6,1.0,7.0,8.0,22.0,12.0,6.2,t1
away,0.75,426.0,20.6,1.0,7.0,8.0,22.0,12.0,6.2,home,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,t2
away,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,home,0.75,565.0,26.3,9.0,1.0,24.0,10.0,13.0,9.0,t1
home,0.75,565.0,26.3,9.0,1.0,24.0,10.0,13.0,9.0,away,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,t2
away,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,home,0.8125,504.0,22.1,8.0,3.0,14.0,31.0,28.0,9.4,t1
home,0.8125,504.0,22.1,8.0,3.0,14.0,31.0,28.0,9.4,away,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,t2
away,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,away,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,t1
away,0.8125,527.0,24.0,11.0,2.0,20.0,12.0,5.0,8.9,away,0.6875,436.0,20.3,10.0,4.0,7.0,4.0,21.0,6.9,t2
